index,id,latitude,longitude,stationName,zone
265,493,40.7568001,-73.98291153,W 45 St & 6 Ave,5
323,2021,40.75929124,-73.98859651,W 45 St & 8 Ave,4
279,508,40.76341379,-73.99667444,W 46 St & 11 Ave,4
267,495,40.76269882,-73.99301222,W 47 St & 10 Ave,4
224,450,40.76227205,-73.98788205,W 49 St & 8 Ave,4
281,510,40.7606597,-73.98042047,W 51 St & 6 Ave,5
0,72,40.76727216,-73.99392888,W 52 St & 11 Ave,4
291,520,40.75992262,-73.97648516,W 52 St & 5 Ave,5
223,449,40.76461837,-73.98789473,W 52 St & 9 Ave,4
252,480,40.76669671,-73.99061728,W 53 St & 10 Ave,4
200,423,40.76584941,-73.98690506,W 54 St & 9 Ave,4
284,513,40.768254,-73.988639,W 56 St & 10 Ave,4
136,352,40.76340613,-73.97722479,W 56 St & 6 Ave,5
199,422,40.770513,-73.988038,W 59 St & 10 Ave,4
132,348,40.72490985,-74.00154702,W Broadway & Spring St,2
131,347,40.72873888,-74.00748842,W Houston St & Hudson St,2
16,152,40.71473993,-74.00910627,Warren St & Church St,1
153,369,40.73224119,-74.00026394,Washington Pl & 6 Ave,2
120,335,40.72903917,-73.99404649,Washington Pl & Broadway,2
82,294,40.73049393,-73.9957214,Washington Square E,2
183,405,40.739323,-74.008119,Washington St & Gansevoort St,2
305,534,40.70255065,-74.0127234,Water - Whitehall Plaza,1
114,328,40.72405549,-74.00965965,Watts St & Greenwich St,1
201,426,40.71754834,-74.01322069,West St & Chambers St,1
147,363,40.70834698,-74.01713445,West Thames St,1
144,360,40.70717936,-74.00887308,William St & Pine St,1
